time=2026-05-07T14:50:50.719Z level=INFO source=/app/internal/bootstrap/dict_config_override.go:113 msg="config override from dict" key=alert.webhook_token dict_type=alert_webhook_token
time=2026-05-07T14:50:50.719Z level=INFO source=/app/internal/bootstrap/dict_config_override.go:113 msg="config override from dict" key=alert.prometheus_url dict_type=alert_enrich_prometheus_url
time=2026-05-07T14:50:50.720Z level=INFO source=/app/internal/bootstrap/dict_config_override.go:113 msg="config override from dict" key=alert.prometheus_token dict_type=alert_enrich_prometheus_token sensitive=true
time=2026-05-07T14:50:50.720Z level=INFO source=/app/internal/bootstrap/dict_config_override.go:113 msg="config override from dict" key=mail.host dict_type=mail_host
time=2026-05-07T14:50:50.721Z level=INFO source=/app/internal/bootstrap/dict_config_override.go:113 msg="config override from dict" key=mail.port dict_type=mail_port
time=2026-05-07T14:50:50.723Z level=INFO source=/app/internal/bootstrap/dict_config_override.go:113 msg="config override from dict" key=mail.username dict_type=mail_username
time=2026-05-07T14:50:50.724Z level=INFO source=/app/internal/bootstrap/dict_config_override.go:113 msg="config override from dict" key=mail.password dict_type=mail_password sensitive=true
time=2026-05-07T14:50:50.724Z level=INFO source=/app/internal/bootstrap/dict_config_override.go:113 msg="config override from dict" key=mail.from_email dict_type=mail_from_email
time=2026-05-07T14:50:50.725Z level=INFO source=/app/internal/bootstrap/dict_config_override.go:113 msg="config override from dict" key=mail.use_tls dict_type=mail_use_tls
time=2026-05-07T14:50:51.097Z level=INFO source=/app/cmd/server.go:54 msg="database schema migrated"
time=2026-05-07T14:50:51.388Z level=INFO source=/app/cmd/server.go:220 msg="configured readonly role permissions" role=viewer policies_added=119
time=2026-05-07T14:50:51.390Z level=INFO source=/app/cmd/server.go:249 msg="demo user already exists" username=viewer
time=2026-05-07T14:50:51.397Z level=INFO source=/app/cmd/server.go:262 msg="demo user initialized" username=viewer password=viewer123 role=viewer
time=2026-05-07T14:50:51.397Z level=INFO source=/app/cmd/server.go:263 msg="demo user login info" username=viewer password=viewer123
time=2026-05-07T14:50:51.405Z level=INFO source=/app/cmd/server.go:116 msg="permission system server started" addr=:8080
time=2026-05-07T14:51:05.460Z level=WARN source=/app/internal/middleware/auth.go:30 msg="parse token failed" error="token has invalid claims: token is expired"
time=2026-05-07T14:51:05.460Z level=WARN source=/app/internal/middleware/request_logger.go:82 msg="http request completed" request_id=req-1778165465242-og9uvalb method=GET path=/api/v1/auth/me query="" status=401 latency_ms=4 client_ip=219.237.138.118 error_code=UNAUTHORIZED error_message="Token 无效"
time=2026-05-07T14:51:13.479Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165473270-e8a3r22p method=POST path=/api/v1/auth/password-login-code query="" status=200 latency_ms=7 client_ip=219.237.138.118 request_body="{\"username\":\"admin\"}"
time=2026-05-07T14:51:19.796Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165479489-hkl4jei5 method=POST path=/api/v1/auth/login query="" status=200 latency_ms=106 client_ip=219.237.138.118 request_body="{\"username\":\"admin\",\"password\":\"***\",\"code\":\"***\",\"captcha_key\":\"ch0raetYCksfa2KzUkQe\"}"
time=2026-05-07T14:51:19.876Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165479669-ngls6daj method=GET path=/api/v1/auth/me query="" status=200 latency_ms=7 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:20.039Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165479836-ia9y622g method=GET path=/api/v1/health query="" status=200 latency_ms=2 client_ip=219.237.138.118
time=2026-05-07T14:51:20.089Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165479836-ssl6ytzk method=GET path=/api/v1/overview/trends query="" status=200 latency_ms=8 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:20.103Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165479836-rhrhjsij method=GET path=/api/v1/login-logs query="page=1&page_size=5" status=200 latency_ms=6 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:20.119Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165479836-n415oruc method=GET path=/api/v1/operation-logs query="page=1&page_size=5" status=200 latency_ms=21 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:20.163Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165479836-pweafg1x method=GET path=/api/v1/menus/tree query="" status=200 latency_ms=59 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:49.295Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165509084-yqs46hhr method=GET path=/api/v1/auth/me query="" status=200 latency_ms=6 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:49.498Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165509291-feycd4uh method=GET path=/api/v1/health query="" status=200 latency_ms=0 client_ip=219.237.138.118
time=2026-05-07T14:51:49.505Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165509291-hq9bte38 method=GET path=/api/v1/overview/trends query="" status=200 latency_ms=8 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:49.508Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165509291-og46yqmx method=GET path=/api/v1/operation-logs query="page=1&page_size=5" status=200 latency_ms=16 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:49.513Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165509291-r94my92q method=GET path=/api/v1/login-logs query="page=1&page_size=5" status=200 latency_ms=15 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:51:49.564Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165509291-e57eyh8f method=GET path=/api/v1/menus/tree query="" status=200 latency_ms=7 client_ip=219.237.138.118 user_id=1 username=admin
